FECHA,T_CAMBIO_USD
01/01/2015,8.555
02/01/2015,8.555
03/01/2015,8.561
04/01/2015,8.561
05/01/2015,8.561
06/01/2015,8.572
07/01/2015,8.585
08/01/2015,8.592
09/01/2015,8.591
10/01/2015,8.591
11/01/2015,8.591
12/01/2015,8.591
13/01/2015,8.593
14/01/2015,8.595
15/01/2015,8.597
16/01/2015,8.601
17/01/2015,8.605
18/01/2015,8.605
19/01/2015,8.605
20/01/2015,8.611
21/01/2015,8.616
22/01/2015,8.621
23/01/2015,8.625
24/01/2015,8.625
25/01/2015,8.625
26/01/2015,8.625
27/01/2015,8.629
28/01/2015,8.631
29/01/2015,8.634
30/01/2015,8.644
31/01/2015,8.656
01/02/2015,8.656
02/02/2015,8.656
03/02/2015,8.661
04/02/2015,8.659
05/02/2015,8.659
06/02/2015,8.659
07/02/2015,8.666
08/02/2015,8.666
09/02/2015,8.666
10/02/2015,8.672
11/02/2015,8.678
12/02/2015,8.681
13/02/2015,8.685
14/02/2015,8.697
15/02/2015,8.697
16/02/2015,8.697
17/02/2015,8.697
18/02/2015,8.697
19/02/2015,8.697
20/02/2015,8.703
21/02/2015,8.718
22/02/2015,8.718
23/02/2015,8.718
24/02/2015,8.718
25/02/2015,8.722
26/02/2015,8.721
27/02/2015,8.726
28/02/2015,8.733
01/03/2015,8.733
02/03/2015,8.733
03/03/2015,8.739
04/03/2015,8.744
05/03/2015,8.758
06/03/2015,8.758
07/03/2015,8.764
08/03/2015,8.764
09/03/2015,8.764
10/03/2015,8.777
11/03/2015,8.777
12/03/2015,8.783
13/03/2015,8.783
14/03/2015,8.783
15/03/2015,8.783
16/03/2015,8.783
17/03/2015,8.787
18/03/2015,8.791
19/03/2015,8.794
20/03/2015,8.799
21/03/2015,8.801
22/03/2015,8.801
23/03/2015,8.801
24/03/2015,8.801
25/03/2015,8.801
26/03/2015,8.806
27/03/2015,8.816
28/03/2015,8.816
29/03/2015,8.816
30/03/2015,8.816
31/03/2015,8.822
01/04/2015,8.827
02/04/2015,8.831
03/04/2015,8.831
04/04/2015,8.831
05/04/2015,8.831
06/04/2015,8.831
07/04/2015,8.836
08/04/2015,8.841
09/04/2015,8.845
10/04/2015,8.856
11/04/2015,8.856
12/04/2015,8.856
13/04/2015,8.856
14/04/2015,8.858
15/04/2015,8.866
16/04/2015,8.866
17/04/2015,8.867
18/04/2015,8.871
19/04/2015,8.871
20/04/2015,8.871
21/04/2015,8.874
22/04/2015,8.879
23/04/2015,8.885
24/04/2015,8.895
25/04/2015,8.895
26/04/2015,8.895
27/04/2015,8.895
28/04/2015,8.897
29/04/2015,8.902
30/04/2015,8.907
01/05/2015,8.912
02/05/2015,8.912
03/05/2015,8.912
04/05/2015,8.912
05/05/2015,8.917
06/05/2015,8.922
07/05/2015,8.924
08/05/2015,8.928
09/05/2015,8.933
10/05/2015,8.933
11/05/2015,8.933
12/05/2015,8.936
13/05/2015,8.944
14/05/2015,8.944
15/05/2015,8.947
16/05/2015,8.953
17/05/2015,8.953
18/05/2015,8.953
19/05/2015,8.958
20/05/2015,8.962
21/05/2015,8.968
22/05/2015,8.971
23/05/2015,8.978
24/05/2015,8.978
25/05/2015,8.978
26/05/2015,8.978
27/05/2015,8.983
28/05/2015,8.986
29/05/2015,8.992
30/05/2015,8.996
31/05/2015,8.996
01/06/2015,8.996
02/06/2015,9.001
03/06/2015,9.007
04/06/2015,9.014
05/06/2015,9.014
06/06/2015,9.018
07/06/2015,9.018
08/06/2015,9.018
09/06/2015,9.023
10/06/2015,9.029
11/06/2015,9.032
12/06/2015,9.037
13/06/2015,9.041
14/06/2015,9.041
15/06/2015,9.041
16/06/2015,9.044
17/06/2015,9.052
18/06/2015,9.052
19/06/2015,9.056
20/06/2015,9.061
21/06/2015,9.061
22/06/2015,9.061
23/06/2015,9.065
24/06/2015,9.069
25/06/2015,9.073
26/06/2015,9.078
27/06/2015,9.083
28/06/2015,9.083
29/06/2015,9.083
30/06/2015,9.088
01/07/2015,9.093
02/07/2015,9.097
03/07/2015,9.104
04/07/2015,9.108
05/07/2015,9.108
06/07/2015,9.108
07/07/2015,9.114
08/07/2015,9.118
09/07/2015,9.124
10/07/2015,9.124
11/07/2015,9.128
12/07/2015,9.128
13/07/2015,9.128
14/07/2015,9.132
15/07/2015,9.137
16/07/2015,9.142
17/07/2015,9.146
18/07/2015,9.151
19/07/2015,9.151
20/07/2015,9.151
21/07/2015,9.156
22/07/2015,9.161
23/07/2015,9.165
24/07/2015,9.168
25/07/2015,9.173
26/07/2015,9.173
27/07/2015,9.173
28/07/2015,9.178
29/07/2015,9.182
30/07/2015,9.187
31/07/2015,9.195
01/08/2015,9.195
02/08/2015,9.195
03/08/2015,9.195
04/08/2015,9.205
05/08/2015,9.205
06/08/2015,9.209
07/08/2015,9.214
08/08/2015,9.227
09/08/2015,9.227
10/08/2015,9.227
11/08/2015,9.227
12/08/2015,9.231
13/08/2015,9.237
14/08/2015,9.245
15/08/2015,9.245
16/08/2015,9.245
17/08/2015,9.245
18/08/2015,9.245
19/08/2015,9.251
20/08/2015,9.255
21/08/2015,9.267
22/08/2015,9.267
23/08/2015,9.267
24/08/2015,9.267
25/08/2015,9.272
26/08/2015,9.279
27/08/2015,9.284
28/08/2015,9.296
29/08/2015,9.296
30/08/2015,9.296
31/08/2015,9.296
01/09/2015,9.304
02/09/2015,9.317
03/09/2015,9.317
04/09/2015,9.322
05/09/2015,9.337
06/09/2015,9.337
07/09/2015,9.337
08/09/2015,9.337
09/09/2015,9.344
10/09/2015,9.354
11/09/2015,9.354
12/09/2015,9.359
13/09/2015,9.359
14/09/2015,9.359
15/09/2015,9.365
16/09/2015,9.371
17/09/2015,9.377
18/09/2015,9.382
19/09/2015,9.387
20/09/2015,9.387
21/09/2015,9.387
22/09/2015,9.391
23/09/2015,9.398
24/09/2015,9.404
25/09/2015,9.407
26/09/2015,9.416
27/09/2015,9.416
28/09/2015,9.416
29/09/2015,9.416
30/09/2015,9.422
01/10/2015,9.43
02/10/2015,9.438
03/10/2015,9.444
04/10/2015,9.444
05/10/2015,9.444
06/10/2015,9.451
07/10/2015,9.456
08/10/2015,9.46
09/10/2015,9.465
10/10/2015,9.474
11/10/2015,9.474
12/10/2015,9.474
13/10/2015,9.474
14/10/2015,9.479
15/10/2015,9.484
16/10/2015,9.49
17/10/2015,9.498
18/10/2015,9.498
19/10/2015,9.498
20/10/2015,9.504
21/10/2015,9.511
22/10/2015,9.514
23/10/2015,9.52
24/10/2015,9.527
25/10/2015,9.527
26/10/2015,9.527
27/10/2015,9.533
28/10/2015,9.538
29/10/2015,9.542
30/10/2015,9.546
31/10/2015,9.555
01/11/2015,9.555
02/11/2015,9.555
03/11/2015,9.562
04/11/2015,9.572
05/11/2015,9.58
06/11/2015,9.587
07/11/2015,9.587
08/11/2015,9.587
09/11/2015,9.587
10/11/2015,9.596
11/11/2015,9.603
12/11/2015,9.615
13/11/2015,9.624
14/11/2015,9.635
15/11/2015,9.635
16/11/2015,9.635
17/11/2015,9.642
18/11/2015,9.648
19/11/2015,9.657
20/11/2015,9.668
21/11/2015,9.672
22/11/2015,9.672
23/11/2015,9.672
24/11/2015,9.674
25/11/2015,9.678
26/11/2015,9.678
27/11/2015,9.688
28/11/2015,9.688
29/11/2015,9.688
30/11/2015,9.688
01/12/2015,9.698
02/12/2015,9.709
03/12/2015,9.72
04/12/2015,9.73
05/12/2015,9.736
06/12/2015,9.736
07/12/2015,9.736
08/12/2015,9.736
09/12/2015,9.736
10/12/2015,9.751
11/12/2015,9.773
12/12/2015,9.786
13/12/2015,9.786
14/12/2015,9.786
15/12/2015,9.806
16/12/2015,9.826
17/12/2015,13.4
18/12/2015,13.25
19/12/2015,12.86
20/12/2015,12.86
21/12/2015,12.86
22/12/2015,12.98
23/12/2015,13.02
24/12/2015,13.08
25/12/2015,13
26/12/2015,13
27/12/2015,13
28/12/2015,13
29/12/2015,12.963
30/12/2015,12.984
31/12/2015,13.04
